Tarih;TP BRENTPETROL EUBP;TP SANAYREV11 Y1;TP SANAYREV11 Y1-1;TP SANAYREV11 Y1-2;TP KTF18;TP KTFTUK01;TP KREDI L001;M1_Düzey;M2_düzey;TP FG J0;TP FG B01 95;TP GY1 N2;TP KKO2 IS TOP;Ýmalat Sanayi Kapasite Kullaným Oraný - Düzey;1.M1 - Düzey;2.M2 - Düzey;Ticari Krediler (TL Üzerinden Açýlan)(Tüzel Kiþi KMH ve Kurumsal Kredi Kartlarý Hariç)(Akým Veri,%) - Düzey;Tüketici Kredisi (KMH Dahil)(TL Üzerinden Açýlan)(Ýhtiyaç+Taþýt+Konut)(Akým Veri,%) - Düzey;0.GENEL (Tüketici) - Düzey;Genel Endeks (ÝTO 1995=100) - Düzey;Avrupa Brent Petrol Spot FOB Fiyatý (Varil Baþýna Dolar) - Düzey;I.TOPLAM KREDÝ HACMÝ(Bin TL) - Düzey;Reel Kesim Güven Endeksi - Düzey;Toplam sanayi - Düzey;Toplam sanayi - Yüzde Deðiþim;Toplam sanayi - Fark
2023-03;79,19;145,99;5,80;8,00;14,93;22,90;8.210.991.544,00;3.466.881.602,00;9.073.195.173,00;1.269,75;74.296,60;105,20;73,50;;;;;;;;;;;;;
2023-04;81,32;144,51;-1,01;-1,47;14,35;23,70;8.572.113.860,00;3.681.362.988,00;9.537.845.081,00;1.300,04;77.690,20;108,00;75,40;;;;;;;;;;;;;
2023-05;71,98;146,50;1,38;1,99;14,95;24,59;8.804.344.094,00;3.582.211.206,00;9.508.104.415,00;1.300,60;78.978,80;108,30;76,00;;;;;;;;;;;;;
2023-06;74,51;148,09;1,08;1,59;15,33;26,25;9.564.604.472,00;4.194.801.091,00;10.874.575.044,00;1.351,59;81.709,50;108,20;76,80;;;;;;;;;;;;;
2023-07;85,22;147,43;-0,45;-0,66;24,84;31,09;9.846.895.191,00;4.392.731.023,00;11.510.220.409,00;1.479,84;89.750,50;106,80;77,10;;;;;;;;;;;;;
2023-08;87,29;146,19;-0,84;-1,24;31,58;36,01;9.923.805.535,00;4.500.871.008,00;11.947.306.760,00;1.614,31;97.643,60;105,00;76,10;;;;;;;;;;;;;
2023-09;95,86;146,02;-0,12;-0,17;41,87;47,51;10.258.286.970,00;4.485.407.099,00;12.374.659.285,00;1.691,04;102.977,90;104,40;77,30;;;;;;;;;;;;;
2023-10;86,82;145,63;-0,26;-0,38;48,93;55,45;10.479.350.311,00;4.591.489.914,00;12.789.135.293,00;1.749,11;106.782,10;103,30;77,40;;;;;;;;;;;;;
2023-11;81,72;143,56;-1,42;-2,07;50,85;59,06;10.786.614.391,00;4.602.150.669,00;13.048.912.771,00;1.806,50;110.832,30;100,20;78,00;;;;;;;;;;;;;
2023-12;77,69;;ND;ND;52,07;63,20;11.189.475.577,00;;;1.859,38;114.738,10;99,10;77,50;;;;;;;;;;;;;
2024-01;75,47;;ND;ND;52,20;65,19;11.221.098.928,00;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Seri Açýklamalarý;;;;;;;;;;;;;;;;;;;;;;;;;;
TP.BRENTPETROL.EUBP;Avrupa Brent Petrol Spot FOB Fiyatý (Varil Baþýna Dolar)-Düzey;Gözlem Deðeri: Bitiþ;;;;;;;;;;;;;;;;;;;;;;;;
TP.SANAYREV11.Y1;Toplam sanayi-Düzey;Gözlem Deðeri: Orijinal Gözlem;;;;;;;;;;;;;;;;;;;;;;;;
TP.SANAYREV11.Y1_1;Toplam sanayi-Yüzde Deðiþim;Gözlem Deðeri: Orijinal Gözlem;;;;;;;;;;;;;;;;;;;;;;;;
TP.SANAYREV11.Y1_2;Toplam sanayi-Fark;Gözlem Deðeri: Orijinal Gözlem;;;;;;;;;;;;;;;;;;;;;;;;
TP.KTF18;Ticari Krediler (TL Üzerinden Açýlan)(Tüzel Kiþi KMH ve Kurumsal Kredi Kartlarý Hariç)(Akým Veri,%)-Düzey;Gözlem Deðeri: Orijinal Gözlem;;;;;;;;;;;;;;;;;;;;;;;;
TP.KTFTUK01;Tüketici Kredisi (KMH Dahil)(TL Üzerinden Açýlan)(Ýhtiyaç+Taþýt+Konut)(Akým Veri,%)-Düzey;Gözlem Deðeri: Orijinal Gözlem;;;;;;;;;;;;;;;;;;;;;;;;
TP.KREDI.L001;I.TOPLAM KREDÝ HACMÝ(Bin TL)-Düzey;Gözlem Deðeri: Bitiþ;;;;;;;;;;;;;;;;;;;;;;;;
TP.PBD.H01;1.M1-Düzey;Gözlem Deðeri: Bitiþ;;;;;;;;;;;;;;;;;;;;;;;;
TP.PBD.H09;2.M2-Düzey;Gözlem Deðeri: Bitiþ;;;;;;;;;;;;;;;;;;;;;;;;
TP.FG.J0;0.GENEL (Tüketici)-Düzey;Gözlem Deðeri: Orijinal Gözlem;;;;;;;;;;;;;;;;;;;;;;;;
TP.FG.B01.95;Genel Endeks (ÝTO 1995=100)-Düzey;Gözlem Deðeri: Orijinal Gözlem;;;;;;;;;;;;;;;;;;;;;;;;
TP.GY1.N2;Reel Kesim Güven Endeksi-Düzey;Gözlem Deðeri: Orijinal Gözlem;;;;;;;;;;;;;;;;;;;;;;;;
TP.KKO2.IS.TOP;Ýmalat Sanayi Kapasite Kullaným Oraný-Düzey;Gözlem Deðeri: Orijinal Gözlem;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Notlar;;;;;;;;;;;;;;;;;;;;;;;;;;
TP.BRENTPETROL.EUBP;Uygulama Deðiþiklik Linki;https://www.eia.gov/dnav/pet/hist/RBRTED.htm;;;;;;;;;;;;;;;;;;;;;;;;
;Veri Kaynaðý;ABD Enerji Bilgi Yönetim Ýdaresi (EIA);;;;;;;;;;;;;;;;;;;;;;;;
;Veri Yayýnlama Takvim Linki;https://www.eia.gov/dnav/pet/hist/RBRTED.htm;;;;;;;;;;;;;;;;;;;;;;;;
;Metaveri Linki;https://www.eia.gov/dnav/pet/hist/RBRTED.htm;;;;;;;;;;;;;;;;;;;;;;;;
;Revizyon Politika Linki;https://www.eia.gov/dnav/pet/hist/RBRTED.htm;;;;;;;;;;;;;;;;;;;;;;;;
;Etiketler;Brent Petrol Fiyatý;;;;;;;;;;;;;;;;;;;;;;;;
TP.SANAYREV11.Y1;Uygulama Deðiþiklik Linki;https://data.tuik.gov.tr/Kategori/GetKategori?p=sanayi-114&dil=1;;;;;;;;;;;;;;;;;;;;;;;;
;Veri Kaynaðý;TÜÝK;;;;;;;;;;;;;;;;;;;;;;;;
;Veri Yayýnlama Takvim Linki;https://www.tuik.gov.tr/Kurumsal/Veri_Takvimi;;;;;;;;;;;;;;;;;;;;;;;;
;Metaveri Linki;https://data.tuik.gov.tr/Kategori/GetKategori?p=sanayi-114&dil=1;;;;;;;;;;;;;;;;;;;;;;;;
;Revizyon Politika Linki;https://data.tuik.gov.tr/Kategori/GetKategori?p=sanayi-114&dil=1;;;;;;;;;;;;;;;;;;;;;;;;
;Etiketler;Sanayi, Üretim, Endeksi, SÜE;;;;;;;;;;;;;;;;;;;;;;;;
TP.KTF18;Veri Kaynaðý;TCMB;;;;;;;;;;;;;;;;;;;;;;;;
;Veri Yayýnlama Takvim Linki;http://www3.tcmb.gov.tr/veriyaytakvim/takvim.php;;;;;;;;;;;;;;;;;;;;;;;;
;Etiketler;kredi, faiz;;;;;;;;;;;;;;;;;;;;;;;;
;Dipnotlar;Bankalarýn geriye dönük düzeltmeleri nedeniyle zaman serilerinde güncelleme yapýlabilmektedir.;;;;;;;;;;;;;;;;;;;;;;;;
TP.KTFTUK01;Veri Kaynaðý;TCMB;;;;;;;;;;;;;;;;;;;;;;;;
;Veri Yayýnlama Takvim Linki;http://www3.tcmb.gov.tr/veriyaytakvim/takvim.php;;;;;;;;;;;;;;;;;;;;;;;;
;Etiketler;kredi, faiz;;;;;;;;;;;;;;;;;;;;;;;;
;Dipnotlar;Bankalarýn geriye dönük düzeltmeleri nedeniyle zaman serilerinde güncelleme yapýlabilmektedir.;;;;;;;;;;;;;;;;;;;;;;;;
